genre,tokens,types,mattr,hdd,mtld,mattr_zscore,hdd_zscore,mtld_zscore,composite_diversity_score,composite_rank
humor,18265,4729,0.827493,0.877549,113.975599,1.209191,0.993505,1.312094,1.171597,1
reviews,35088,7866,0.826873,0.871725,120.399190,1.172684,0.313562,1.754815,1.080354,2
science_fiction,12035,3011,0.818485,0.880792,103.141998,0.678689,1.372071,0.565431,0.872064,3
adventure,58372,8210,0.819427,0.873201,105.342927,0.734187,0.485892,0.717121,0.645734,4
news,87004,12222,0.814039,0.875760,101.089983,0.416901,0.784707,0.424004,0.541871,5
mystery,48174,6410,0.816470,0.875922,98.033522,0.560011,0.803602,0.213349,0.525654,6
romance,58612,7840,0.813409,0.877450,96.852363,0.379763,0.981981,0.131943,0.497896,7
editorial,54087,8854,0.813432,0.868640,101.082736,0.381131,-0.046555,0.423504,0.252693,8
fiction,58296,8625,0.809316,0.868330,96.496571,0.138733,-0.082779,0.107421,0.054458,9
hobbies,71552,10256,0.804750,0.874298,89.868180,-0.130144,0.613924,-0.349415,0.044788,10
lore,96695,13042,0.806918,0.865711,93.868541,-0.002472,-0.388471,-0.073706,-0.154883,11
belles_lettres,151548,16676,0.803992,0.860716,92.196056,-0.174807,-0.971673,-0.188975,-0.445152,12
religion,34308,5787,0.787167,0.857880,76.708114,-1.165579,-1.302720,-1.256421,-1.241573,13
learned,159940,14708,0.775933,0.855358,69.584594,-1.827119,-1.597171,-1.747381,-1.723890,14
government,61143,6834,0.766695,0.852251,65.429040,-2.371168,-1.959875,-2.033786,-2.121610,15
