genre,sample_id,window_size,ttr,mattr,hdd,mtld
adventure,1,10000,0.255500,0.813231,0.860878,97.292274
adventure,2,10000,0.253900,0.817247,0.869730,104.199321
adventure,3,10000,0.223800,0.804436,0.858211,93.957595
adventure,4,10000,0.252400,0.836919,0.879018,121.951220
adventure,5,10000,0.249700,0.830015,0.879226,116.668404
adventure,6,10000,0.255200,0.823576,0.878028,110.410907
adventure,7,10000,0.256200,0.815381,0.872670,102.614477
adventure,8,10000,0.265200,0.821644,0.865270,108.415008
adventure,9,10000,0.251700,0.816057,0.868444,104.833899
adventure,10,10000,0.248500,0.815263,0.866544,97.742697
belles_lettres,1,10000,0.281000,0.785159,0.843959,79.389527
belles_lettres,2,10000,0.268100,0.796909,0.849410,86.502171
belles_lettres,3,10000,0.302200,0.809834,0.859153,98.262231
belles_lettres,4,10000,0.304000,0.807899,0.858198,96.279573
belles_lettres,5,10000,0.294500,0.791896,0.845262,85.406938
belles_lettres,6,10000,0.281100,0.815822,0.873934,99.596082
belles_lettres,7,10000,0.279700,0.816712,0.878619,103.189867
belles_lettres,8,10000,0.276800,0.815580,0.865782,100.874532
belles_lettres,9,10000,0.304600,0.810745,0.861967,99.564177
belles_lettres,10,10000,0.284800,0.811171,0.860184,97.462305
editorial,1,10000,0.300600,0.816885,0.866262,103.313291
editorial,2,10000,0.280700,0.812349,0.860595,100.637222
editorial,3,10000,0.256300,0.800798,0.859829,88.362173
editorial,4,10000,0.284600,0.818185,0.881481,101.000812
editorial,5,10000,0.262800,0.803019,0.861954,89.501695
editorial,6,10000,0.302700,0.816585,0.861815,107.393647
editorial,7,10000,0.303100,0.818288,0.876663,105.141383
editorial,8,10000,0.295700,0.816818,0.864424,106.427417
editorial,9,10000,0.277000,0.816684,0.879266,101.806170
editorial,10,10000,0.256900,0.801411,0.860176,89.060122
fiction,1,10000,0.285500,0.816800,0.866779,108.222290
fiction,2,10000,0.276200,0.805123,0.862644,94.168383
fiction,3,10000,0.259500,0.807091,0.865276,98.588366
fiction,4,10000,0.264500,0.799473,0.860628,90.629376
