genre,metric,mean,std,min,max,range,coefficient_of_variation
humor,hdd,0.877552,0.001087,0.875557,0.878986,0.003429,0.001238
science_fiction,hdd,0.881028,0.001723,0.877807,0.882998,0.005191,0.001955
reviews,hdd,0.869262,0.001719,0.866178,0.872358,0.006179,0.001978
fiction,hdd,0.865350,0.002927,0.860628,0.871428,0.010800,0.003382
religion,hdd,0.855370,0.003583,0.851307,0.861047,0.009740,0.004189
learned,hdd,0.852549,0.004524,0.846975,0.862710,0.015735,0.005306
hobbies,hdd,0.870212,0.006798,0.861590,0.880525,0.018935,0.007812
news,hdd,0.875562,0.006864,0.857177,0.881186,0.024009,0.007839
adventure,hdd,0.869802,0.007428,0.858211,0.879226,0.021015,0.008540
romance,hdd,0.870689,0.008011,0.860520,0.880241,0.019721,0.009201
government,hdd,0.843949,0.007928,0.832953,0.855805,0.022852,0.009393
editorial,hdd,0.867247,0.008508,0.859829,0.881481,0.021652,0.009810
mystery,hdd,0.874978,0.009482,0.856846,0.885713,0.028867,0.010837
lore,hdd,0.860927,0.009622,0.844968,0.875996,0.031029,0.011177
belles_lettres,hdd,0.859647,0.011390,0.843959,0.878619,0.034660,0.013249
humor,mattr,0.824102,0.001687,0.822142,0.828021,0.005879,0.002047
science_fiction,mattr,0.818650,0.002087,0.815946,0.820910,0.004964,0.002549
reviews,mattr,0.825170,0.002885,0.819869,0.828966,0.009097,0.003496
religion,mattr,0.790554,0.002835,0.786333,0.795745,0.009412,0.003586
fiction,mattr,0.808541,0.005843,0.799473,0.816800,0.017327,0.007227
mystery,mattr,0.816945,0.005990,0.803280,0.825274,0.021994,0.007332
news,mattr,0.818660,0.007047,0.806341,0.826811,0.020470,0.008608
editorial,mattr,0.812102,0.007349,0.800798,0.818288,0.017490,0.009050
learned,mattr,0.784096,0.008367,0.762677,0.792206,0.029529,0.010671
adventure,mattr,0.819377,0.009148,0.804436,0.836919,0.032483,0.011164
hobbies,mattr,0.808256,0.009029,0.791991,0.820275,0.028285,0.011171
belles_lettres,mattr,0.806173,0.010986,0.785159,0.816712,0.031553,0.013627
romance,mattr,0.808291,0.013177,0.791945,0.826719,0.034774,0.016302
lore,mattr,0.806976,0.013256,0.783507,0.827495,0.043988,0.016427
government,mattr,0.763159,0.012599,0.746098,0.780100,0.034003,0.016509
science_fiction,mtld,104.841970,1.227160,102.836879,106.173099,3.336220,0.011705
religion,mtld,79.199375,1.620905,76.097249,80.770982,4.673733,0.020466
humor,mtld,110.119735,2.652923,107.157604,117.140808,9.983204,0.024091
reviews,mtld,119.506577,5.563627,112.070669,128.246840,16.176171,0.046555
mystery,mtld,98.446473,4.838124,88.550200,105.445011,16.894811,0.049145
news,mtld,105.223403,5.601820,97.149327,111.820866,14.671539,0.053237
fiction,mtld,98.968115,6.266567,90.629376,108.226729,17.597352,0.063319
learned,mtld,75.463690,5.459467,62.433990,81.352249,18.918259,0.072346
editorial,mtld,99.264393,7.438507,88.362173,107.393647,19.031473,0.074936
adventure,mtld,105.808580,8.808262,93.957595,121.951220,27.993624,0.083247
belles_lettres,mtld,94.652740,7.948466,79.389527,103.189867,23.800340,0.083975
government,mtld,64.422781,5.583645,56.686424,72.480259,15.793835,0.086672
hobbies,mtld,94.179357,8.381806,78.678390,107.136596,28.458206,0.088998
romance,mtld,92.801394,11.780581,78.079807,109.972386,31.892579,0.126944
lore,mtld,95.962050,12.609016,74.405909,113.136651,38.730742,0.131396
science_fiction,ttr,0.267800,0.003291,0.262900,0.270600,0.007700,0.012289
religion,ttr,0.248190,0.004757,0.242500,0.259000,0.016500,0.019165
reviews,ttr,0.317460,0.008546,0.306600,0.333200,0.026600,0.026920
humor,ttr,0.280350,0.010487,0.268300,0.301200,0.032900,0.037406
adventure,ttr,0.251210,0.010671,0.223800,0.265200,0.041400,0.042477
news,ttr,0.291500,0.012820,0.276600,0.321000,0.044400,0.043980
belles_lettres,ttr,0.287680,0.012787,0.268100,0.304600,0.036500,0.044449
mystery,ttr,0.234070,0.010797,0.211700,0.247000,0.035300,0.046129
hobbies,ttr,0.267840,0.013177,0.242300,0.284800,0.042500,0.049195
fiction,ttr,0.268020,0.013759,0.250900,0.285500,0.034600,0.051337
lore,ttr,0.282220,0.014957,0.258600,0.302100,0.043500,0.052998
learned,ttr,0.234060,0.014210,0.213900,0.253800,0.039900,0.060712
editorial,ttr,0.282040,0.018559,0.256300,0.303100,0.046800,0.065803
romance,ttr,0.230990,0.015403,0.215900,0.263300,0.047400,0.066684
government,ttr,0.215960,0.015840,0.187000,0.244000,0.057000,0.073347
